
F# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario.png	0	255	255
20	textures\misc.png	166	185	255

30	textures\tiles.png	255	128	192
40	textures\enemies.png	163	73	164
50	textures\enemies-2.png	0	128	128
60	textures\enemies-2NGUOC.png	0	130	130
120	textures\enemies-4.png	0	255	255
150	textures\misc3.png	166	185	255
90	textures\HUD.png	51	255	191
80	textures\black.png	51	255	191
250	textures\final.png	0	183	239
280	textures\special_items.png	0	183	239
330	textures\end_scene1.png	0	0	0
240	textures\HUD.png	0	224	142
1150	textures\tiles5.png	255	255	255
1140	textures\tiles5.png	218	255	127
11100	textures\map1-1_bank.png	255	255	255

# id	left	top	right	bottom	texture_id
[SPRITES]


#---4----
#==========MOVING PLATTFORM================
30050	352	167	400	183	20
#====gạch 4=======
7770	256	120	272	136	30
7771	273	120	289	136	30
7772	290	120	306	136	30
7773	256	137	272	153	30
7774	273	137	289	153	30
7775	290	137	306	153	30
#========UNMOVING OBJ==========
#Pipe
40020	0	16	32	32	11100
40021	32	16	64	32	11100	
40022	1	69	33	85	1150
#Brick - Breakable
40042	1038	1	1054	17	1140
40043	1055	1	1071	17	1140
40044	1072	1	1088	17	1140
40045	1089	1	1105	17	1140
#đen cuối
250	4	4	252	173	250
#gạch chặn
8899	324	171	340	187	30
# ? Brick
40046	1140	1	1156	17	1140
40047	1157	1	1173	17	1140
40048	1174	1	1190	17	1140
40049	1191	1	1207	17	1140

#tree
80011	341	290	357	306	1140
80021	358	290	374	306	1140
80031	375	290	391	306	1140
800411	188	69	204	85	30
80051	375	307	391	323	1140

#==== WORDS END SCENE 1
#====COURSE CLEAR
80200	44	18	159	25	330
#====YOU GOT A CARD
80201	27	42	144	50	330

#====== Brick 
100001	290	188	306	204	30

#đồng xu+=========+++=++=
1141	294	101	302	115	20
1142	311	101	312	115	20
1143	321	101	325	115	20
1144	334	100	348	116	20
1145	357	100	363	116	20

#đen
1234	1	1	600	600	80

#============== Đường ================
20001	222	222	238	238	30
20002	239	222	255	238	30
20003	256	222	272	238	30


20004	426	256	442	272	30
20005	443	256	459	272	30

20006	426	239	442	255	30
20007	443	239	459	255	30

#==== quả bóng
20008	677	196	685	205	40
20009	688	197	696	205	40
20010	699	196	707	205	40
20011	709	196	718	205	40

#răng
20012	222	171	238	187	30

#============= BỤI CÂY ===============
#width 15 height 16
70001	138	1	153	17	30
70002	154	1	169	17	30
#width 16 height 16
70003	137	18	153	34	30
70004	154	18	170	34	30
70005	137	35	153	51	30
70006	154	35	170	51	30
70007	137	52	153	68	30

#=====goomba bình thường=========
40001	598	812	616	826	40
40002	617	812	635	826	40
40003	35	351	51	360	40

# goomba có cánh
400014	12	368	32	387	40
400015	34	363	54	387	40

	
#chuông chữ p
400016	156	144	172	160	20
400018	178	144	194	160	20
400017	200	153	216	160	20

#đồng xu+=========+++=++=
1141	294	101	302	115	20
1142	311	101	312	115	20
1143	321	101	325	115	20
1144	334	100	348	116	20
1145	357	100	363	116	20

