[SETTINGS]
#cell_size(width)	cell_size(height)	num_col_cells	num_row_cells
100	100	40	40
# type :0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas, 4 = NoCollisionObjects, 5= RECT, 6=PIPE NORMAL, 7= koopas xanh_bay, 8= koopas ??_b?, 9= koopas ??_bay, 10=Coin NORMAL, 11=Goomba red bay, 12= Fire Bullet,13= FLOWER RED,14=Flower Bullet, 15=COIN CAN MOVE, 16=Leaf ,17=Mushroom Red,18=Question Brick Have Leaf, 19=Mushroom Green ,20=Question Brick Just Have Mushroom , 21= FLOWER GREEN , 22= FLOWER GREEN CAN SHOOT , 23= BREAKABLE BRICK , 24=BELL
#	25=HUD PANEL , 26=MARIO_LUIGI_HUD , 27=LIFE, 28= MONEY, 29=SCORE , 30=TIME_PICKER , 31= WORLD , 32=STACK NORMAL, 33=STACK MAX, 34=ITEM , 35= black black , 36=special item
#	37=PIPE DOWN , 38= PIPE UP , 39= SCORE AND 1VP ,40= WORDS END SCENE COURSE CLEAR , 41=WORDS END SCENE YOU GOT A CARD , 42=WORDS END SCENE ITEM
#	43= GACH BE ANIMATION TYPE LEFT TOP, 44= GACH BE ANIMATION TYPE RIGHT TOP, 45= GACH BE ANIMATION TYPE RIGHT BOTTOM, 46= GACH BE ANIMATION TYPE LEFT BOTTOM
#Obj_type	index_col	index_row	ani_set
[OBJECTS]

#? BRICK	x	y	

#d?ng xu
10	352	80	1141
10	368	80	1141
10	384	80	1141
10	432	48	1141
10	448	48	1141
10	464	48	1141
10	784	80	1141
10	800	80	1141
10	816	80	1141
10	864	48	1141
10	880	48	1141
10	896	48	1141
10	1344	64	1141
10	1360	64	1141
10	1376	64	1141

10	1520	48	1141
10	1520	64	1141
10	1520	80	1141
10	1520	96	1141
10	1520	112	1141
10	1520	128	1141
10	1520	144	1141
10	1520	160	1141

26	384	98	78
26	576	128	78
26	608	80	78
26	940	176	78
26	768	112	78
26	1254	160	78
26	1266	96	78
26	1392	128	78
26	1424	112	78
26	1668	80	78
26	1776	112	78
26	1744	98	78
26	1792	192	78

#26	2000	96	78
#26	2170	144	78
#26	2200	90	78


#C?c 1
1	240	128	42
1	256	128	42
1	272	128	42
1	288	128	42
#C?c2
1	400	112	42
1	416	112	42
1	432	112	42
1	448	112	42
1	464	112	42
#C?c 3
1	610	64	42
1	626	64	42
12	642	64	4490
3	642	64	42
5	658	64	42
#C?c4
1	656	144	44
1	672	144	42
#C?c5
5	768	96	42
5	768	128	42
5	768	112	42
5	768	144	42
5	784	144	42
5	800	144	42
5	816	144	42
#C?c 6
5	880	112	42
5	880	128	42
5	880	144	42
5	880	160	42
5	896	160	42
5	912	160	42

#C?c7

1	976	112	42
1	976	128	42
12	992	130	4491
3	992	128	42
#C?c8

1	992	176	42
1	1008	176	42
1	1024	176	42
1	1040	176	42

#C?c9


12	1042	128.5	1141
12	1042	128.5	1141
12	1042	128.5	1141
12	1042	128.5	1141
12	1042	128.5	1141
12	1042	128.5	1141
12	1042	128	1141
3	1040	128	42

1	1056	128	42
1	1072	128	42
1	1088	128	42
1	1104	128	42

#test rua xanh
16	1080	80	7

#C?c 10

1	1184	160	42
1	1200	160	42
1	1216	160	42
1	1232	160	42

#C?c 11

1	1200	80	42
1	1216	80	42
1	1232	80	42
1	1248	80	42
12	1248	64	4490
3	1248	64	42

#C?c 12

1	1280	144	42
1	1296	144	42

#C?c 13

1	1408	80	42
1	1424	80	42
1	1440	80	42

#C?c 14

1	1552	64	44
1	1552	80	42

#C?c 15

5	1552	144	42
5	1552	160	42
5	1552	176	42
5	1568	176	42
5	1584	176	42
5	1600	176	42

#C?c 16

1	1744	64	42
1	1744	80	42
1	1744	96	42

#C?c 17
1	1792	144	42
1	1808	144	42
1	1824	144	42

#rùa bay
27	1880	144	200
#Ðu?ng

1	1936	176	7770
1	1952	176	7771
1	1968	176	7771
1	1984	176	7771
1	2000	176	7771
1	2016	176	7771
1	2032	176	7771
1	2048	176	7771
1	2064	176	7772


#?ng
1	1968	160	540
1	1984	160	542
1	1968	144	540
1	1984	144	542

1	1967	128	543
1	1983	128	545

1	1967	112	546
1	1983	112	548

#g?ch c?nh ?ng
1	2000	160	80411
1	2016	160	8021
1	2032	160	8051

1	2000	144	8011
1	2016	144	8021
1	2032	144	8031

7	2016	80	7

5	1936	192	7773
5	1952	192	7774
5	1968	192	7774
5	1984	192	7774
5	2000	192	7774
5	2016	192	7774
5	2032	192	7774
5	2048	192	7774
5	2064	192	7775


#?ng

#g?ch ch?n
1	2064	160	8899
1	2064	144	8899
1	2064	128	8899
1	2064	112	8899
1	2064	96	8899
1	2064	80	8899
1	2064	64	8899
1	2064	48	8899
1	2064	32	8899
1	2064	16	8899	
1	2064	0	8899
1	2064	-16	8899
1	2064	-32	8899
#tree
1	18	128	8011
1	34	128	8021
1	50	128	8021
1	66	128	8021
1	82	128	8021
1	98	128	8021
1	114	128	8021
1	130	128	8021
1	146	128	8031


1	34	128	8021
1	34	144	8021
1	34	160	8021
1	34	176	8021
1	34	192	8021
1	34	208	8021
1	34	224	8021

1	18	128	8021
1	18	144	8021
1	18	160	8021
1	18	176	8021
1	18	192	8021
1	18	208	8021
1	18	224	8021

1	50	128	8021
1	50	144	8021
1	50	160	8021
1	50	176	8021
1	50	192	8021
1	50	208	8021
1	50	224	8021

1	66	128	8021
1	66	144	8021
1	66	160	8021
1	66	176	8021
1	66	192	8021
1	66	208	8021
1	66	224	8021

1	82	128	8021
1	82	144	8021
1	82	160	8021
1	82	176	8021
1	82	192	8021
1	82	208	8021
1	82	224	8021
1	98	128	8021
1	98	144	8021
1	98	160	8021
1	98	176	8021
1	98	192	8021
1	98	208	8021
1	98	224	8021

1	114	128	8021
1	114	144	8021
1	114	160	8021
1	114	176	8021
1	114	192	8021
1	114	208	8021
1	114	224	8021
1	130	128	8021
1	130	144	8021
1	130	160	8021
1	130	176	8021
1	130	192	8021
1	130	208	8021
1	130	224	8021


1	146	144	8051
1	146	160	8051
1	146	176	8051
1	146	192	8051
1	146	208	8051
1	146	224	8051

#30	130	80	99

#Ðu?ng cu?i

1	2112	176	601
1	2128	176	602
1	2144	176	602
1	2160	176	602
1	2176	176	602
1	2192	176	602
1	2208	176	602
1	2224	176	602
1	2240	176	602
1	2256	176	602
1	2272	176	602
1	2288	176	602
1	2304	176	602
1	2320	176	602
1	2336	176	602
1	2352	176	602
1	2368	176	602
1	2384	176	602
1	2400	176	602
1	2416	176	602
1	2432	176	602
1	2448	176	602
1	2464	176	602
1	2480	176	602
1	2496	176	602
1	2512	176	602
1	2496	176	602
1	2512	176	602
1	2528	176	602
1	2544	176	602
1	2560	176	602
1	2576	176	602
1	2592	176	602
1	2608	176	602
1	2624	176	602
1	2640	176	602
1	2656	176	602



#?ng
1	2240	160	543
1	2256	160	545			
1	2240	148	546
1	2256	148	548



#mario





